name,username,niche,url
Vaibhav Mahajan,_vaibhav_mahajann,Fitness,https://www.instagram.com/_vaibhav_mahajann/
Pallavi Yadav,pallaviyadav_,Fitness,https://www.instagram.com/pallaviyadav_/
Niharika Vashistha,niharika.vashhisht,Fitness,https://www.instagram.com/niharika.vashhisht/
Nidhi S,missnidss,Fitness,https://www.instagram.com/missnidss/
Prachi Tomar,prachitomar_007,Fitness,https://www.instagram.com/prachitomar_007/
Mansi Nautiyal Mehta,mansinautiyalmehta,Beauty,https://www.instagram.com/mansinautiyalmehta/
Saima Qadri,shystyles2109,Beauty,https://www.instagram.com/shystyles2109/
Debasree Banerjee,debasreee,Beauty,https://www.instagram.com/debasreee/
Ankita Corallista,corallistablog,Beauty,https://www.instagram.com/corallistablog/
Shreya Jain,shreyajain26,Beauty,https://www.instagram.com/shreyajain26/
Juhi Chabriya,_juhichabriya_,Skincare,https://www.instagram.com/_juhichabriya_/
Preiti Bhamra,preitibhamra,Skincare,https://www.instagram.com/preitibhamra/
Aishwarya Kandpal,indianskinblog,Skincare,https://www.instagram.com/indianskinblog/
Chetali Chadha,chetalichadha,Skincare,https://www.instagram.com/chetalichadha/
Nandhithaa,nandsskin,Skincare,https://www.instagram.com/nandsskin/
Praval Sharma,sharmajitechnical,Technology,https://www.instagram.com/sharmajitechnical/
Yogi Yogendra,technicalyogi,Technology,https://www.instagram.com/technicalyogi/
Ruhez Amrelia,technoruhez,Technology,https://www.instagram.com/technoruhez/
Dhananjay Bhosale,dhananjay_tech,Technology,https://www.instagram.com/dhananjay_tech/
Naman Deshmukh,naman_d,Technology,https://www.instagram.com/naman_d/
Prathamesh,crazycrickethead,Sports,https://www.instagram.com/crazycrickethead/
Nashpreet Singh,nashysingh,Sports,https://www.instagram.com/nashysingh/
Sunil Kumar,sunilkesootr,Sports,https://www.instagram.com/sunilkesootr/
Cricket Banter,cricket_banter1,Sports,https://www.instagram.com/cricket_banter1/
Sam Cricketer,samcricketer10,Sports,https://www.instagram.com/samcricketer10/
